I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
158.12,174.61599999999999,17.784,-166.56799999999998,71.608,97.2,-21.448,433.784,354.896,260.93600000000004,166.84,135.256
168.12,185.61599999999999,18.784,-176.56799999999998,76.608,103.2,-25.448,450.784,374.896,277.93600000000004,178.84,143.256
179.12,196.61599999999999,19.784,-187.56799999999998,81.608,108.2,-29.448,468.784,393.896,294.93600000000004,189.84,152.256
189.12,206.61599999999999,20.784,-197.56799999999998,86.608,114.2,-33.448,486.784,412.896,311.93600000000004,200.84,160.256
200.12,217.61599999999999,20.784,-208.56799999999998,91.608,119.2,-37.448,504.784,431.896,328.93600000000004,212.84,168.256
209.12,229.61599999999999,24.784,-219.56799999999998,94.608,127.2,-43.448,520.784,453.896,345.93600000000004,224.84,177.256
217.12,242.61599999999999,27.784,-229.56799999999998,96.608,135.2,-50.448,536.784,476.896,362.93600000000004,235.84,187.256
226.12,255.61599999999999,31.784,-240.56799999999998,99.608,143.2,-56.448,552.784,498.896,379.93600000000004,247.84,196.256
235.12,267.616,34.784,-251.56799999999998,101.608,152.2,-62.448,568.784,520.896,396.93600000000004,259.84000000000003,205.256
244.12,280.616,37.784,-261.568,104.608,160.2,-69.44800000000001,584.784,542.896,413.93600000000004,270.84000000000003,214.256
252.12,292.616,41.784,-272.568,106.608,168.2,-75.44800000000001,600.784,564.896,430.93600000000004,282.84000000000003,224.256
261.12,305.616,44.784,-283.568,108.608,176.2,-81.44800000000001,616.784,586.896,448.93600000000004,294.84000000000003,233.256
271.12,318.616,48.784,-295.568,111.608,185.2,-87.44800000000001,630.784,608.896,466.93600000000004,307.84000000000003,242.256
280.12,332.616,52.784,-306.568,114.608,193.2,-92.44800000000001,643.784,629.896,483.93600000000004,320.84000000000003,250.256
290.12,346.616,56.784,-318.568,117.608,202.2,-98.44800000000001,657.784,651.896,501.93600000000004,334.84000000000003,259.256
300.12,360.616,60.784,-330.568,120.608,211.2,-103.44800000000001,671.784,673.896,519.936,347.84000000000003,267.256
310.12,373.616,64.78399999999999,-341.568,123.608,220.2,-109.44800000000001,685.784,694.896,537.936,360.84000000000003,276.256
319.12,387.616,67.78399999999999,-353.568,126.608,228.2,-115.44800000000001,699.784,716.896,555.936,373.84000000000003,284.256
329.12,401.616,71.78399999999999,-365.568,129.608,237.2,-120.44800000000001,713.784,737.896,573.936,387.84000000000003,293.256
336.12,409.616,73.78399999999999,-372.568,132.608,242.2,-125.44800000000001,725.784,756.896,590.936,399.84000000000003,302.256
342.12,417.616,75.78399999999999,-379.568,134.608,248.2,-130.448,738.784,775.896,606.936,410.84000000000003,311.256
348.12,425.616,77.78399999999999,-386.568,136.608,253.2,-136.448,750.784,794.896,623.936,422.84000000000003,320.256
355.12,432.616,79.78399999999999,-393.568,139.608,258.2,-141.448,763.784,812.896,639.936,434.84000000000003,328.256
361.12,440.616,81.78399999999999,-400.568,141.608,264.2,-146.448,776.784,831.896,656.936,445.84000000000003,337.256
368.12,448.616,83.78399999999999,-407.568,143.608,269.2,-151.448,788.784,850.896,672.936,457.84000000000003,346.256
374.12,456.616,84.78399999999999,-414.568,145.608,274.2,-156.448,801.784,868.896,688.936,469.84000000000003,355.256
376.12,458.616,83.78399999999999,-416.568,147.608,275.2,-155.448,799.784,872.896,693.936,472.84000000000003,358.256
379.12,460.616,82.78399999999999,-418.568,148.608,275.2,-154.448,796.784,875.896,696.936,474.84000000000003,361.256
381.12,462.616,80.78399999999999,-420.568,150.608,275.2,-152.448,794.784,878.896,700.936,477.84000000000003,364.256
383.12,463.616,79.78399999999999,-422.568,151.608,276.2,-151.448,791.784,881.896,704.936,480.84000000000003,367.256
385.12,465.616,77.78399999999999,-424.568,153.608,276.2,-149.448,789.784,884.896,707.936,482.84000000000003,370.256
387.12,467.616,76.78399999999999,-426.568,154.608,276.2,-148.448,786.784,887.896,711.936,485.84000000000003,372.256
389.12,468.616,75.78399999999999,-427.568,155.608,276.2,-147.448,784.784,890.896,714.936,487.84000000000003,375.256
383.12,462.616,76.78399999999999,-421.568,152.608,274.2,-141.448,775.784,877.896,701.936,477.84000000000003,368.256
375.12,455.616,77.78399999999999,-414.568,147.608,270.2,-136.448,767.784,862.896,686.936,466.84000000000003,360.256
368.12,449.616,78.78399999999999,-407.568,143.608,267.2,-131.448,758.784,847.896,671.936,454.84000000000003,352.256
360.12,442.616,80.78399999999999,-400.568,139.608,264.2,-125.44800000000001,749.784,833.896,657.936,443.84000000000003,343.256
353.12,435.616,81.78399999999999,-394.568,135.608,261.2,-120.44800000000001,740.784,818.896,642.936,432.84000000000003,335.256
345.12,429.616,82.78399999999999,-387.568,131.608,258.2,-114.44800000000001,732.784,803.896,627.936,420.84000000000003,327.256
338.12,422.616,83.78399999999999,-380.568,127.608,255.2,-109.44800000000001,723.784,788.896,612.936,409.84000000000003,319.256
322.12,405.616,82.78399999999999,-363.568,120.608,245.2,-102.44800000000001,703.784,758.896,586.936,389.84000000000003,304.256
306.12,387.616,80.78399999999999,-346.568,112.608,235.2,-94.44800000000001,683.784,726.896,560.936,369.84000000000003,288.256
290.12,369.616,79.78399999999999,-329.568,105.608,226.2,-87.44800000000001,663.784,694.896,533.936,348.84000000000003,272.256
273.12,351.616,77.78399999999999,-312.568,98.608,216.2,-79.44800000000001,642.784,662.896,506.93600000000004,328.84000000000003,256.256
